starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 13:44:02 2020	1595069042	0	70	70	16
Sat Jul 18 13:44:02 2020	1595069042	52	45	97	45
Sat Jul 18 13:44:02 2020	1595069042	52	76	128	76
Sat Jul 18 13:44:02 2020	1595069042	52	77	130	77
Sat Jul 18 13:44:02 2020	1595069042	52	95	147	95
Sat Jul 18 13:44:02 2020	1595069042	52	109	161	109
Sat Jul 18 13:44:02 2020	1595069042	54	116	170	116
Sat Jul 18 13:44:02 2020	1595069042	53	121	173	120
Sat Jul 18 13:44:02 2020	1595069042	51	149	200	149
Sat Jul 18 13:44:02 2020	1595069042	54	155	209	154
Sat Jul 18 13:44:02 2020	1595069042	51	173	224	172
Sat Jul 18 13:44:02 2020	1595069042	51	183	234	182
Sat Jul 18 13:44:02 2020	1595069042	51	186	237	186
Sat Jul 18 13:44:02 2020	1595069042	51	187	238	187
Sat Jul 18 13:44:02 2020	1595069042	51	205	257	205
Sat Jul 18 13:44:02 2020	1595069042	51	233	284	233
Sat Jul 18 13:44:02 2020	1595069042	51	256	307	256
Sat Jul 18 13:44:02 2020	1595069042	51	260	311	260
Sat Jul 18 13:44:02 2020	1595069042	51	277	328	277
Sat Jul 18 13:44:02 2020	1595069042	51	279	330	279
Sat Jul 18 13:44:02 2020	1595069042	51	295	346	294
Sat Jul 18 13:44:02 2020	1595069042	51	297	349	297
Sat Jul 18 13:44:02 2020	1595069042	51	341	392	341
Sat Jul 18 13:44:02 2020	1595069042	51	342	394	342
Sat Jul 18 13:44:02 2020	1595069042	51	369	420	369
Sat Jul 18 13:44:02 2020	1595069042	51	391	443	391
Sat Jul 18 13:44:02 2020	1595069042	51	393	445	393
Sat Jul 18 13:44:02 2020	1595069042	52	399	451	399
Sat Jul 18 13:44:02 2020	1595069042	51	402	454	402
Sat Jul 18 13:44:02 2020	1595069042	52	435	486	434
Sat Jul 18 13:44:02 2020	1595069042	52	456	508	456
Sat Jul 18 13:44:02 2020	1595069042	52	465	517	465
Sat Jul 18 13:44:02 2020	1595069042	52	469	521	469
Sat Jul 18 13:44:02 2020	1595069042	52	477	528	477
Sat Jul 18 13:44:02 2020	1595069042	52	513	565	513
Sat Jul 18 13:44:02 2020	1595069042	52	530	582	529
Sat Jul 18 13:44:02 2020	1595069042	52	533	585	533
Sat Jul 18 13:44:02 2020	1595069042	52	542	594	542
Sat Jul 18 13:44:02 2020	1595069042	52	578	630	578
Sat Jul 18 13:44:02 2020	1595069042	52	602	654	601
Sat Jul 18 13:44:02 2020	1595069042	52	607	659	607
Sat Jul 18 13:44:02 2020	1595069042	52	615	667	615
Sat Jul 18 13:44:02 2020	1595069042	52	616	668	616
Sat Jul 18 13:44:02 2020	1595069042	52	661	713	660
Sat Jul 18 13:44:02 2020	1595069042	52	673	725	673
Sat Jul 18 13:44:02 2020	1595069042	52	674	726	674
Sat Jul 18 13:44:02 2020	1595069042	52	679	731	679
Sat Jul 18 13:44:02 2020	1595069042	42	707	749	707
Sat Jul 18 13:44:02 2020	1595069042	42	726	768	726
Sat Jul 18 13:44:02 2020	1595069042	52	736	788	736
Sat Jul 18 13:44:02 2020	1595069042	42	755	797	755
Sat Jul 18 13:44:02 2020	1595069042	42	767	808	766
Sat Jul 18 13:44:02 2020	1595069042	42	770	811	769
Sat Jul 18 13:44:02 2020	1595069042	42	831	873	831
Sat Jul 18 13:44:02 2020	1595069042	42	836	878	835
Sat Jul 18 13:44:02 2020	1595069042	42	839	881	839
Sat Jul 18 13:44:02 2020	1595069042	42	847	889	845
Sat Jul 18 13:44:02 2020	1595069042	42	855	897	855
Sat Jul 18 13:44:02 2020	1595069042	42	896	938	896
Sat Jul 18 13:44:02 2020	1595069042	48	892	940	892
Sat Jul 18 13:44:02 2020	1595069042	48	899	947	899
Sat Jul 18 13:44:02 2020	1595069042	48	900	948	900
Sat Jul 18 13:44:02 2020	1595069042	48	930	978	930
Sat Jul 18 13:44:02 2020	1595069042	48	957	1005	957
Sat Jul 18 13:44:02 2020	1595069042	48	974	1023	974
Sat Jul 18 13:44:02 2020	1595069042	48	983	1031	979
Sat Jul 18 13:44:02 2020	1595069042	48	986	1035	986
Sat Jul 18 13:44:02 2020	1595069042	48	1018	1067	1018
Sat Jul 18 13:44:02 2020	1595069042	48	1020	1068	1020
Sat Jul 18 13:44:02 2020	1595069042	48	1021	1069	1020
Sat Jul 18 13:44:02 2020	1595069042	48	1044	1092	1043
Sat Jul 18 13:44:02 2020	1595069042	48	1093	1141	1093
Sat Jul 18 13:44:02 2020	1595069042	48	1094	1143	1094
Sat Jul 18 13:44:02 2020	1595069042	48	1096	1144	1096
Sat Jul 18 13:44:02 2020	1595069042	49	1108	1156	1107
Sat Jul 18 13:44:02 2020	1595069042	49	1131	1179	1131
Sat Jul 18 13:44:02 2020	1595069042	49	1136	1184	1136
Sat Jul 18 13:44:02 2020	1595069042	48	1146	1194	1146
Sat Jul 18 13:44:02 2020	1595069042	49	1163	1212	1163
Sat Jul 18 13:44:02 2020	1595069042	49	1182	1231	1182
Sat Jul 18 13:44:02 2020	1595069042	49	1184	1232	1184
Sat Jul 18 13:44:02 2020	1595069042	49	1220	1269	1220
Sat Jul 18 13:44:02 2020	1595069042	49	1227	1275	1227
Sat Jul 18 13:44:02 2020	1595069042	49	1233	1282	1233
Sat Jul 18 13:44:02 2020	1595069042	49	1250	1298	1249
Sat Jul 18 13:44:02 2020	1595069042	49	1258	1307	1258
Sat Jul 18 13:44:02 2020	1595069042	49	1287	1336	1287
Sat Jul 18 13:44:02 2020	1595069042	49	1296	1344	1295
Sat Jul 18 13:44:02 2020	1595069042	49	1312	1361	1312
Sat Jul 18 13:44:02 2020	1595069042	49	1331	1379	1330
Sat Jul 18 13:44:02 2020	1595069042	49	1336	1385	1336
Sat Jul 18 13:44:02 2020	1595069042	49	1347	1395	1342
Sat Jul 18 13:44:02 2020	1595069042	49	1362	1411	1362
Sat Jul 18 13:44:02 2020	1595069042	49	1381	1430	1380
Sat Jul 18 13:44:02 2020	1595069042	49	1392	1441	1392
Sat Jul 18 13:44:02 2020	1595069042	49	1410	1459	1409
Sat Jul 18 13:44:02 2020	1595069042	49	1424	1473	1424
Sat Jul 18 13:44:02 2020	1595069042	50	1430	1479	1429
Sat Jul 18 13:44:02 2020	1595069042	49	1436	1486	1435
Sat Jul 18 13:44:02 2020	1595069042	50	1462	1512	1462
Sat Jul 18 13:44:02 2020	1595069042	50	1543	1592	1542
Sat Jul 18 13:44:02 2020	1595069042	50	1574	1624	1570
Sat Jul 18 13:44:02 2020	1595069042	50	1581	1631	1581
Sat Jul 18 13:44:02 2020	1595069042	50	1590	1640	1590
Sat Jul 18 13:44:02 2020	1595069042	50	1610	1660	1609
Sat Jul 18 13:44:02 2020	1595069042	50	1612	1661	1600
Sat Jul 18 13:44:02 2020	1595069042	50	1628	1678	1628
Sat Jul 18 13:44:02 2020	1595069042	50	1638	1688	1638
Sat Jul 18 13:44:02 2020	1595069042	50	1647	1697	1647
Sat Jul 18 13:44:02 2020	1595069042	50	1667	1717	1667
Sat Jul 18 13:44:02 2020	1595069042	50	1670	1720	1670
Sat Jul 18 13:44:02 2020	1595069042	50	1716	1766	1716
Sat Jul 18 13:44:02 2020	1595069042	50	1717	1767	1717
Sat Jul 18 13:44:02 2020	1595069042	50	1722	1772	1722
Sat Jul 18 13:44:02 2020	1595069042	51	1746	1797	1746
Sat Jul 18 13:44:02 2020	1595069042	50	1749	1799	1749
Sat Jul 18 13:44:02 2020	1595069042	51	1785	1836	1785
Sat Jul 18 13:44:02 2020	1595069042	51	1792	1843	1792
Sat Jul 18 13:44:02 2020	1595069042	39	1813	1852	1813
Sat Jul 18 13:44:02 2020	1595069042	38	1822	1861	1822
Sat Jul 18 13:44:02 2020	1595069042	51	1819	1869	1819
Sat Jul 18 13:44:02 2020	1595069042	39	1870	1909	1870
Sat Jul 18 13:44:02 2020	1595069042	51	1860	1911	1860
Sat Jul 18 13:44:02 2020	1595069042	39	1888	1926	1887
Sat Jul 18 13:44:02 2020	1595069042	51	1883	1933	1883
Sat Jul 18 13:44:02 2020	1595069042	39	1904	1943	1904
Sat Jul 18 13:44:02 2020	1595069042	39	1913	1952	1909
Sat Jul 18 13:44:02 2020	1595069042	39	1915	1954	1915
Sat Jul 18 13:44:02 2020	1595069042	39	1945	1984	1945
Sat Jul 18 13:44:02 2020	1595069042	39	1948	1987	1948
Sat Jul 18 13:44:02 2020	1595069042	39	1973	2012	1973
Sat Jul 18 13:44:02 2020	1595069042	39	1991	2030	1991
Sat Jul 18 13:44:02 2020	1595069042	39	2004	2043	2004
Sat Jul 18 13:44:02 2020	1595069042	39	2013	2053	2013
Sat Jul 18 13:44:02 2020	1595069042	39	2037	2076	2036
Sat Jul 18 13:44:02 2020	1595069042	39	2038	2077	2031
Sat Jul 18 13:44:02 2020	1595069042	40	2042	2081	2042
Sat Jul 18 13:44:02 2020	1595069042	39	2047	2086	2046
Sat Jul 18 13:44:02 2020	1595069042	40	2087	2127	2087
Sat Jul 18 13:44:02 2020	1595069042	39	2098	2138	2098
Sat Jul 18 13:44:02 2020	1595069042	40	2101	2140	2100
Sat Jul 18 13:44:02 2020	1595069042	40	2126	2166	2126
Sat Jul 18 13:44:02 2020	1595069042	40	2132	2172	2132
Sat Jul 18 13:44:02 2020	1595069042	40	2143	2183	2143
Sat Jul 18 13:44:02 2020	1595069042	40	2147	2187	2147
Sat Jul 18 13:44:02 2020	1595069042	40	2164	2204	2163
Sat Jul 18 13:44:02 2020	1595069042	40	2186	2227	2186
Sat Jul 18 13:44:02 2020	1595069042	40	2188	2228	2188
Sat Jul 18 13:44:02 2020	1595069042	41	2219	2260	2218
Sat Jul 18 13:44:02 2020	1595069042	41	2223	2265	2223
Sat Jul 18 13:44:02 2020	1595069042	40	2257	2297	2257
Sat Jul 18 13:44:02 2020	1595069042	41	2260	2301	2260
Sat Jul 18 13:44:02 2020	1595069042	41	2261	2302	2261
Sat Jul 18 13:44:02 2020	1595069042	41	2272	2313	2271
Sat Jul 18 13:44:02 2020	1595069042	41	2289	2330	2289
Sat Jul 18 13:44:02 2020	1595069042	41	2296	2338	2296
Sat Jul 18 13:44:02 2020	1595069042	41	2330	2371	2329
Sat Jul 18 13:44:02 2020	1595069042	41	2352	2394	2352
Sat Jul 18 13:44:02 2020	1595069042	41	2357	2398	2356
Sat Jul 18 13:44:02 2020	1595069042	41	2383	2424	2376
Sat Jul 18 13:44:02 2020	1595069042	41	2396	2438	2396
Sat Jul 18 13:44:02 2020	1595069042	42	2399	2441	2399
Sat Jul 18 13:44:02 2020	1595069042	39	2424	2463	2424
Sat Jul 18 13:44:02 2020	1595069042	41	2427	2469	2427
Sat Jul 18 13:44:02 2020	1595069042	39	2433	2471	2432
Sat Jul 18 13:44:02 2020	1595069042	41	2438	2479	2437
Sat Jul 18 13:44:02 2020	1595069042	39	2469	2507	2468
Sat Jul 18 13:44:02 2020	1595069042	38	2485	2524	2485
Sat Jul 18 13:44:02 2020	1595069042	38	2510	2548	2509
Sat Jul 18 13:44:02 2020	1595069042	38	2513	2552	2513
Sat Jul 18 13:44:02 2020	1595069042	42	2518	2559	2517
Sat Jul 18 13:44:02 2020	1595069042	38	2528	2566	2527
Sat Jul 18 13:44:02 2020	1595069042	39	2539	2578	2539
Sat Jul 18 13:44:02 2020	1595069042	38	2597	2636	2597
Sat Jul 18 13:44:02 2020	1595069042	38	2603	2641	2603
Sat Jul 18 13:44:02 2020	1595069042	38	2616	2654	2615
Sat Jul 18 13:44:02 2020	1595069042	38	2623	2661	2622
Sat Jul 18 13:44:02 2020	1595069042	38	2660	2698	2660
Sat Jul 18 13:44:02 2020	1595069042	38	2663	2701	2663
Sat Jul 18 13:44:02 2020	1595069042	38	2665	2703	2665
Sat Jul 18 13:44:02 2020	1595069042	38	2666	2705	2666
Sat Jul 18 13:44:02 2020	1595069042	38	2673	2711	2673
Sat Jul 18 13:44:02 2020	1595069042	38	2712	2750	2711
Sat Jul 18 13:44:02 2020	1595069042	38	2713	2751	2713
Sat Jul 18 13:44:02 2020	1595069042	38	2729	2767	2729
Sat Jul 18 13:44:02 2020	1595069042	38	2760	2798	2760
Sat Jul 18 13:44:02 2020	1595069042	38	2773	2811	2772
Sat Jul 18 13:44:02 2020	1595069042	38	2775	2814	2775
Sat Jul 18 13:44:02 2020	1595069042	38	2784	2822	2784
Sat Jul 18 13:44:02 2020	1595069042	38	2796	2834	2796
Sat Jul 18 13:44:02 2020	1595069042	38	2822	2860	2822
Sat Jul 18 13:44:02 2020	1595069042	38	2831	2869	2831
Sat Jul 18 13:44:02 2020	1595069042	38	2866	2904	2866
Sat Jul 18 13:44:02 2020	1595069042	38	2873	2911	2873
Sat Jul 18 13:44:02 2020	1595069042	38	2875	2912	2874
Sat Jul 18 13:44:02 2020	1595069042	38	2878	2915	2878
Sat Jul 18 13:44:02 2020	1595069042	38	2881	2919	2881
Sat Jul 18 13:44:02 2020	1595069042	38	2900	2937	2900
Sat Jul 18 13:44:02 2020	1595069042	38	2915	2952	2914
Sat Jul 18 13:44:02 2020	1595069042	37	2959	2997	2959
Sat Jul 18 13:44:02 2020	1595069042	37	2962	3000	2962
Sat Jul 18 13:44:02 2020	1595069042	37	2993	3030	2992
Sat Jul 18 13:44:02 2020	1595069042	37	2994	3031	2994
Sat Jul 18 13:44:02 2020	1595069042	37	3002	3040	3002
Sat Jul 18 13:44:02 2020	1595069042	37	3007	3044	3006
Sat Jul 18 13:44:02 2020	1595069042	37	3013	3050	3013
Sat Jul 18 13:44:02 2020	1595069042	37	3053	3090	3052
Sat Jul 18 13:44:02 2020	1595069042	37	3056	3093	3055
Sat Jul 18 13:44:02 2020	1595069042	37	3063	3100	3063
Sat Jul 18 13:44:02 2020	1595069042	37	3090	3127	3090
Sat Jul 18 13:44:02 2020	1595069042	37	3103	3140	3103
Sat Jul 18 13:44:02 2020	1595069042	37	3106	3143	3105
Sat Jul 18 13:44:02 2020	1595069042	37	3111	3148	3111
Sat Jul 18 13:44:02 2020	1595069042	37	3172	3209	3171
Sat Jul 18 13:44:02 2020	1595069042	37	3175	3212	3175
Sat Jul 18 13:44:02 2020	1595069042	37	3177	3214	3177
Sat Jul 18 13:44:02 2020	1595069042	37	3177	3214	3177
Sat Jul 18 13:44:02 2020	1595069042	37	3178	3215	3178
Sat Jul 18 13:44:02 2020	1595069042	37	3224	3260	3223
Sat Jul 18 13:44:02 2020	1595069042	37	3229	3266	3229
Sat Jul 18 13:44:02 2020	1595069042	37	3241	3277	3240
Sat Jul 18 13:44:02 2020	1595069042	37	3245	3282	3245
Sat Jul 18 13:44:02 2020	1595069042	37	3264	3301	3264
Sat Jul 18 13:44:02 2020	1595069042	37	3286	3322	3286
Sat Jul 18 13:44:02 2020	1595069042	37	3286	3323	3286
Sat Jul 18 13:44:02 2020	1595069042	37	3288	3325	3288
Sat Jul 18 13:44:02 2020	1595069042	37	3324	3360	3323
Sat Jul 18 13:44:02 2020	1595069042	37	3336	3373	3336
Sat Jul 18 13:44:02 2020	1595069042	36	3351	3388	3351
Sat Jul 18 13:44:02 2020	1595069042	37	3360	3397	3360
Sat Jul 18 13:44:02 2020	1595069042	37	3378	3415	3378
Sat Jul 18 13:44:02 2020	1595069042	36	3400	3436	3400
Sat Jul 18 13:44:02 2020	1595069042	36	3407	3443	3403
Sat Jul 18 13:44:02 2020	1595069042	36	3420	3456	3419
Sat Jul 18 13:44:02 2020	1595069042	36	3436	3472	3436
Sat Jul 18 13:44:02 2020	1595069042	36	3438	3474	3438
Sat Jul 18 13:44:02 2020	1595069042	36	3453	3489	3453
Sat Jul 18 13:44:02 2020	1595069042	36	3497	3534	3497
Sat Jul 18 13:44:02 2020	1595069042	36	3500	3537	3500
Sat Jul 18 13:44:02 2020	1595069042	36	3501	3538	3501
Sat Jul 18 13:44:02 2020	1595069042	36	3507	3543	3507
Sat Jul 18 13:44:02 2020	1595069042	36	3539	3575	3537
Sat Jul 18 13:44:02 2020	1595069042	36	3561	3597	3560
Sat Jul 18 13:44:02 2020	1595069042	36	3564	3600	3564
Sat Jul 18 13:44:02 2020	1595069042	36	3569	3605	3569
Sat Jul 18 13:44:02 2020	1595069042	36	3600	3636	3600
Sat Jul 18 13:44:02 2020	1595069042	36	3610	3646	3609
Sat Jul 18 13:44:02 2020	1595069042	36	3628	3664	3628
Sat Jul 18 13:44:02 2020	1595069042	36	3628	3664	3627
Sat Jul 18 13:44:02 2020	1595069042	36	3637	3673	3636
Sat Jul 18 13:44:02 2020	1595069042	36	3653	3689	3653
Sat Jul 18 13:44:02 2020	1595069042	36	3687	3723	3687
Sat Jul 18 13:44:02 2020	1595069042	36	3705	3741	3705
Sat Jul 18 13:44:02 2020	1595069042	36	3721	3757	3721
Sat Jul 18 13:44:02 2020	1595069042	36	3728	3763	3728
Sat Jul 18 13:44:02 2020	1595069042	36	3755	3791	3755
Sat Jul 18 13:44:02 2020	1595069042	36	3761	3797	3761
Sat Jul 18 13:44:02 2020	1595069042	35	3767	3802	3767
Sat Jul 18 13:44:02 2020	1595069042	36	3770	3806	3770
Sat Jul 18 13:44:02 2020	1595069042	36	3781	3816	3780
Sat Jul 18 13:44:02 2020	1595069042	35	3812	3848	3812
Sat Jul 18 13:44:02 2020	1595069042	35	3828	3864	3821
Sat Jul 18 13:44:02 2020	1595069042	35	3849	3884	3848
Sat Jul 18 13:44:02 2020	1595069042	35	3853	3888	3853
Sat Jul 18 13:44:02 2020	1595069042	35	3858	3893	3857
Sat Jul 18 13:44:02 2020	1595069042	35	3880	3915	3880
Sat Jul 18 13:44:02 2020	1595069042	35	3895	3930	3895
Sat Jul 18 13:44:02 2020	1595069042	35	3920	3955	3919
Sat Jul 18 13:44:02 2020	1595069042	35	3933	3968	3932
Sat Jul 18 13:44:02 2020	1595069042	35	3938	3973	3938
Sat Jul 18 13:44:02 2020	1595069042	35	3948	3984	3948
Sat Jul 18 13:44:02 2020	1595069042	35	3962	3997	3962
Sat Jul 18 13:44:02 2020	1595069042	35	3974	4009	3974
Sat Jul 18 13:44:02 2020	1595069042	35	3983	4019	3981
Sat Jul 18 13:44:02 2020	1595069042	35	4010	4046	4010
Sat Jul 18 13:44:02 2020	1595069042	35	4023	4058	4023
Sat Jul 18 13:44:02 2020	1595069042	35	4056	4091	4056
Sat Jul 18 13:44:02 2020	1595069042	35	4059	4094	4059
Sat Jul 18 13:44:02 2020	1595069042	35	4064	4099	4063
Sat Jul 18 13:44:02 2020	1595069042	35	4082	4117	4081
Sat Jul 18 13:44:02 2020	1595069042	35	4110	4145	4109
Sat Jul 18 13:44:02 2020	1595069042	35	4121	4156	4121
Sat Jul 18 13:44:02 2020	1595069042	35	4123	4158	4123
Sat Jul 18 13:44:02 2020	1595069042	35	4124	4159	4124
Sat Jul 18 13:44:02 2020	1595069042	35	4176	4211	4176
Sat Jul 18 13:44:02 2020	1595069042	35	4180	4215	4180
Sat Jul 18 13:44:02 2020	1595069042	35	4182	4216	4181
Sat Jul 18 13:44:02 2020	1595069042	35	4215	4249	4214
Sat Jul 18 13:44:02 2020	1595069042	35	4216	4251	4216
Sat Jul 18 13:44:02 2020	1595069042	35	4227	4262	4227
Sat Jul 18 13:44:02 2020	1595069042	35	4249	4283	4249
Sat Jul 18 13:44:02 2020	1595069042	35	4266	4301	4266
Sat Jul 18 13:44:02 2020	1595069042	34	4272	4306	4271
Sat Jul 18 13:44:02 2020	1595069042	35	4278	4312	4276
Sat Jul 18 13:44:02 2020	1595069042	34	4296	4331	4296
Sat Jul 18 13:44:02 2020	1595069042	34	4316	4350	4316
Sat Jul 18 13:44:02 2020	1595069042	35	4323	4358	4323
Sat Jul 18 13:44:02 2020	1595069042	34	4338	4373	4338
Sat Jul 18 13:44:02 2020	1595069042	34	4361	4395	4361
Sat Jul 18 13:44:02 2020	1595069042	34	4371	4405	4371
Sat Jul 18 13:44:02 2020	1595069042	34	4373	4407	4372
Sat Jul 18 13:44:02 2020	1595069042	34	4392	4426	4392
Sat Jul 18 13:44:02 2020	1595069042	34	4418	4452	4416
Sat Jul 18 13:44:02 2020	1595069042	34	4431	4465	4431
Sat Jul 18 13:44:02 2020	1595069042	34	4449	4483	4448
Sat Jul 18 13:44:02 2020	1595069042	34	4450	4484	4450
Sat Jul 18 13:44:02 2020	1595069042	34	4490	4524	4487
Sat Jul 18 13:44:02 2020	1595069042	34	4493	4528	4493
Sat Jul 18 13:44:02 2020	1595069042	34	4502	4536	4502
Sat Jul 18 13:44:02 2020	1595069042	34	4507	4542	4507
Sat Jul 18 13:44:02 2020	1595069042	34	4511	4545	4511
Sat Jul 18 13:44:02 2020	1595069042	34	4555	4589	4555
Sat Jul 18 13:44:02 2020	1595069042	34	4559	4593	4559
Sat Jul 18 13:44:02 2020	1595069042	34	4566	4600	4566
Sat Jul 18 13:44:02 2020	1595069042	34	4579	4613	4579
Sat Jul 18 13:44:02 2020	1595069042	34	4605	4639	4605
Sat Jul 18 13:44:02 2020	1595069042	34	4628	4661	4627
Sat Jul 18 13:44:02 2020	1595069042	34	4634	4668	4634
Sat Jul 18 13:44:02 2020	1595069042	34	4649	4683	4649
Sat Jul 18 13:44:02 2020	1595069042	34	4666	4700	4666
Sat Jul 18 13:44:02 2020	1595069042	34	4690	4724	4690
Sat Jul 18 13:44:02 2020	1595069042	34	4695	4729	4694
Sat Jul 18 13:44:02 2020	1595069042	34	4705	4739	4704
Sat Jul 18 13:44:02 2020	1595069042	34	4728	4762	4728
Sat Jul 18 13:44:02 2020	1595069042	34	4730	4764	4727
Sat Jul 18 13:44:02 2020	1595069042	34	4746	4780	4745
Sat Jul 18 13:44:02 2020	1595069042	34	4759	4793	4759
Sat Jul 18 13:44:02 2020	1595069042	34	4779	4813	4779
