starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 13:58:59 2020	1595069939	0	33	34	14
Sat Jul 18 13:58:59 2020	1595069939	11	44	55	44
Sat Jul 18 13:58:59 2020	1595069939	10	57	68	57
Sat Jul 18 13:58:59 2020	1595069939	10	60	70	57
Sat Jul 18 13:58:59 2020	1595069939	10	65	75	65
Sat Jul 18 13:58:59 2020	1595069939	11	69	80	69
Sat Jul 18 13:58:59 2020	1595069939	11	99	111	98
Sat Jul 18 13:58:59 2020	1595069939	12	101	112	98
Sat Jul 18 13:58:59 2020	1595069939	12	135	146	134
Sat Jul 18 13:58:59 2020	1595069939	12	138	149	137
Sat Jul 18 13:58:59 2020	1595069939	12	144	156	143
Sat Jul 18 13:58:59 2020	1595069939	11	154	166	154
Sat Jul 18 13:58:59 2020	1595069939	12	175	187	175
Sat Jul 18 13:58:59 2020	1595069939	13	191	204	188
Sat Jul 18 13:58:59 2020	1595069939	12	197	210	195
Sat Jul 18 13:58:59 2020	1595069939	13	202	216	202
Sat Jul 18 13:58:59 2020	1595069939	13	225	238	223
Sat Jul 18 13:58:59 2020	1595069939	13	231	245	231
Sat Jul 18 13:58:59 2020	1595069939	14	241	255	241
Sat Jul 18 13:58:59 2020	1595069939	14	269	284	269
Sat Jul 18 13:58:59 2020	1595069939	14	274	288	273
Sat Jul 18 13:58:59 2020	1595069939	14	279	293	279
Sat Jul 18 13:58:59 2020	1595069939	14	281	295	281
Sat Jul 18 13:58:59 2020	1595069939	14	296	310	296
Sat Jul 18 13:58:59 2020	1595069939	15	319	333	318
Sat Jul 18 13:58:59 2020	1595069939	15	341	356	341
Sat Jul 18 13:58:59 2020	1595069939	15	346	361	346
Sat Jul 18 13:58:59 2020	1595069939	15	349	364	349
Sat Jul 18 13:58:59 2020	1595069939	15	352	367	352
Sat Jul 18 13:58:59 2020	1595069939	16	380	395	379
Sat Jul 18 13:58:59 2020	1595069939	15	381	397	381
Sat Jul 18 13:58:59 2020	1595069939	16	399	415	398
Sat Jul 18 13:58:59 2020	1595069939	16	403	420	403
Sat Jul 18 13:58:59 2020	1595069939	16	422	439	422
Sat Jul 18 13:58:59 2020	1595069939	16	443	460	443
Sat Jul 18 13:58:59 2020	1595069939	16	463	479	446
Sat Jul 18 13:58:59 2020	1595069939	17	469	485	469
Sat Jul 18 13:58:59 2020	1595069939	18	490	507	489
Sat Jul 18 13:58:59 2020	1595069939	17	496	513	492
Sat Jul 18 13:58:59 2020	1595069939	17	502	520	502
Sat Jul 18 13:58:59 2020	1595069939	18	519	538	519
Sat Jul 18 13:58:59 2020	1595069939	18	525	543	525
Sat Jul 18 13:58:59 2020	1595069939	18	554	572	553
Sat Jul 18 13:58:59 2020	1595069939	19	561	580	561
Sat Jul 18 13:58:59 2020	1595069939	18	565	584	565
Sat Jul 18 13:58:59 2020	1595069939	19	588	607	588
Sat Jul 18 13:58:59 2020	1595069939	19	594	613	594
Sat Jul 18 13:58:59 2020	1595069939	19	613	632	613
Sat Jul 18 13:58:59 2020	1595069939	19	626	645	626
Sat Jul 18 13:58:59 2020	1595069939	19	628	647	624
Sat Jul 18 13:58:59 2020	1595069939	19	634	653	634
Sat Jul 18 13:58:59 2020	1595069939	19	638	657	638
Sat Jul 18 13:58:59 2020	1595069939	20	671	691	663
Sat Jul 18 13:58:59 2020	1595069939	4	701	705	701
Sat Jul 18 13:58:59 2020	1595069939	20	696	716	696
Sat Jul 18 13:58:59 2020	1595069939	20	710	729	710
Sat Jul 18 13:58:59 2020	1595069939	20	729	749	729
Sat Jul 18 13:58:59 2020	1595069939	5	745	750	744
Sat Jul 18 13:58:59 2020	1595069939	5	754	758	753
Sat Jul 18 13:58:59 2020	1595069939	5	763	768	761
Sat Jul 18 13:58:59 2020	1595069939	5	778	782	778
Sat Jul 18 13:58:59 2020	1595069939	5	837	842	837
Sat Jul 18 13:58:59 2020	1595069939	5	879	884	878
Sat Jul 18 13:58:59 2020	1595069939	5	892	896	892
Sat Jul 18 13:58:59 2020	1595069939	5	893	898	892
Sat Jul 18 13:58:59 2020	1595069939	5	911	916	911
Sat Jul 18 13:58:59 2020	1595069939	6	921	926	921
Sat Jul 18 13:58:59 2020	1595069939	6	933	940	931
Sat Jul 18 13:58:59 2020	1595069939	6	937	943	936
Sat Jul 18 13:58:59 2020	1595069939	6	941	947	941
Sat Jul 18 13:58:59 2020	1595069939	7	961	967	960
Sat Jul 18 13:58:59 2020	1595069939	7	983	990	983
Sat Jul 18 13:58:59 2020	1595069939	7	998	1006	998
Sat Jul 18 13:58:59 2020	1595069939	7	1007	1014	1004
Sat Jul 18 13:58:59 2020	1595069939	8	1009	1016	1008
Sat Jul 18 13:58:59 2020	1595069939	8	1014	1022	1012
Sat Jul 18 13:58:59 2020	1595069939	9	1043	1052	1043
Sat Jul 18 13:58:59 2020	1595069939	8	1053	1061	1052
