starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 14:08:03 2020	1595070483	1	4	5	4
Sat Jul 18 14:08:03 2020	1595070483	1	4	5	4
Sat Jul 18 14:08:03 2020	1595070483	1	4	5	4
Sat Jul 18 14:08:03 2020	1595070483	1	5	5	4
Sat Jul 18 14:08:03 2020	1595070483	1	5	5	4
Sat Jul 18 14:08:03 2020	1595070483	1	5	5	4
Sat Jul 18 14:08:03 2020	1595070483	1	5	5	4
Sat Jul 18 14:08:03 2020	1595070483	0	5	5	4
Sat Jul 18 14:08:03 2020	1595070483	2	4	5	3
Sat Jul 18 14:08:03 2020	1595070483	2	4	5	3
Sat Jul 18 14:08:03 2020	1595070483	1	4	5	4
Sat Jul 18 14:08:03 2020	1595070483	2	4	5	3
Sat Jul 18 14:08:03 2020	1595070483	2	4	5	3
Sat Jul 18 14:08:03 2020	1595070483	1	4	5	4
Sat Jul 18 14:08:03 2020	1595070483	1	4	5	4
Sat Jul 18 14:08:03 2020	1595070483	1	4	5	4
Sat Jul 18 14:08:03 2020	1595070483	0	5	5	5
Sat Jul 18 14:08:03 2020	1595070483	0	5	5	5
Sat Jul 18 14:08:03 2020	1595070483	1	4	5	4
Sat Jul 18 14:08:03 2020	1595070483	1	4	5	4
Sat Jul 18 14:08:03 2020	1595070483	0	5	5	5
Sat Jul 18 14:08:03 2020	1595070483	0	5	5	5
Sat Jul 18 14:08:03 2020	1595070483	0	5	5	5
Sat Jul 18 14:08:03 2020	1595070483	0	5	5	5
Sat Jul 18 14:08:03 2020	1595070483	0	5	5	5
Sat Jul 18 14:08:03 2020	1595070483	0	5	6	5
Sat Jul 18 14:08:04 2020	1595070484	4	2	6	2
Sat Jul 18 14:08:04 2020	1595070484	4	2	6	2
Sat Jul 18 14:08:04 2020	1595070484	4	2	6	2
Sat Jul 18 14:08:03 2020	1595070483	2	4	6	3
Sat Jul 18 14:08:03 2020	1595070483	1	5	6	4
Sat Jul 18 14:08:04 2020	1595070484	4	2	6	2
Sat Jul 18 14:08:03 2020	1595070483	1	5	6	4
Sat Jul 18 14:08:03 2020	1595070483	2	4	6	3
Sat Jul 18 14:08:04 2020	1595070484	4	2	6	2
Sat Jul 18 14:08:03 2020	1595070483	2	4	6	3
Sat Jul 18 14:08:03 2020	1595070483	2	4	6	3
Sat Jul 18 14:08:03 2020	1595070483	1	5	6	4
Sat Jul 18 14:08:03 2020	1595070483	2	5	6	3
Sat Jul 18 14:08:03 2020	1595070483	2	4	6	2
Sat Jul 18 14:08:03 2020	1595070483	1	5	6	4
Sat Jul 18 14:08:03 2020	1595070483	1	5	6	4
Sat Jul 18 14:08:03 2020	1595070483	1	6	6	5
Sat Jul 18 14:08:04 2020	1595070484	4	2	6	2
Sat Jul 18 14:08:03 2020	1595070483	0	6	6	5
Sat Jul 18 14:08:03 2020	1595070483	2	4	6	2
Sat Jul 18 14:08:03 2020	1595070483	2	4	6	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	6	3
Sat Jul 18 14:08:03 2020	1595070483	2	4	6	2
Sat Jul 18 14:08:03 2020	1595070483	1	6	6	5
Sat Jul 18 14:08:03 2020	1595070483	1	6	6	5
Sat Jul 18 14:08:03 2020	1595070483	1	5	6	4
Sat Jul 18 14:08:03 2020	1595070483	0	6	6	5
Sat Jul 18 14:08:03 2020	1595070483	1	5	6	4
Sat Jul 18 14:08:03 2020	1595070483	1	5	6	4
Sat Jul 18 14:08:03 2020	1595070483	0	6	6	5
Sat Jul 18 14:08:03 2020	1595070483	0	6	6	5
Sat Jul 18 14:08:03 2020	1595070483	1	5	6	3
Sat Jul 18 14:08:04 2020	1595070484	2	5	6	5
Sat Jul 18 14:08:04 2020	1595070484	3	3	6	2
Sat Jul 18 14:08:04 2020	1595070484	3	3	6	2
Sat Jul 18 14:08:04 2020	1595070484	3	3	6	2
Sat Jul 18 14:08:04 2020	1595070484	3	3	6	2
Sat Jul 18 14:08:04 2020	1595070484	4	3	6	2
Sat Jul 18 14:08:04 2020	1595070484	4	3	6	2
Sat Jul 18 14:08:04 2020	1595070484	4	3	6	2
Sat Jul 18 14:08:04 2020	1595070484	4	3	6	2
Sat Jul 18 14:08:04 2020	1595070484	4	3	6	2
Sat Jul 18 14:08:04 2020	1595070484	4	3	6	2
Sat Jul 18 14:08:04 2020	1595070484	1	6	7	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	7	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	7	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	7	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	7	6
Sat Jul 18 14:08:04 2020	1595070484	1	6	7	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	7	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	7	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	7	5
Sat Jul 18 14:08:04 2020	1595070484	1	6	7	5
